City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
285,Katsuura,JP,35.1333,140.3,37.11,96,100,24.2,overcast clouds
286,Raudeberg,NO,61.9875,5.1352,32.67,81,97,1.99,overcast clouds
287,Vazante,BR,-17.9869,-46.9078,77.16,82,93,7.43,overcast clouds
288,Skjervoy,NO,70.0311,20.9714,26.78,94,100,17.36,snow
289,Aktau,KZ,43.65,51.2,37.98,69,100,19.84,overcast clouds
290,Marsa Matruh,EG,31.3525,27.2453,56.46,59,87,19.71,overcast clouds
291,Kyra,RU,49.5776,111.9753,-3.06,94,100,4.05,overcast clouds
292,Portland,US,45.5234,-122.6762,52.47,89,100,3.44,mist
293,Broken Hill,AU,-31.95,141.4333,62.71,49,0,18.05,clear sky
294,Voh,NC,-20.9667,164.7,78.55,92,100,15.23,overcast clouds
295,Qingquan,CN,30.4511,115.2559,42.85,89,100,2.62,overcast clouds
296,San Patricio,US,28.017,-97.5169,72.32,39,100,4.47,overcast clouds
297,Fairbanks,US,64.8378,-147.7164,-7.76,76,75,3.44,mist
298,Gudibanda,IN,13.6694,77.6983,65.19,55,3,6.15,clear sky
299,Asola,IT,45.2211,10.4136,53.01,74,81,2.35,broken clouds
300,Padang,ID,-0.9492,100.3543,77.38,79,100,2.46,overcast clouds
301,Kruisfontein,ZA,-34.0033,24.7314,64.74,78,73,5.77,broken clouds
302,Anloga,GH,5.7947,0.8973,81.63,81,0,14.74,clear sky
303,Aklavik,CA,68.2191,-135.0107,-17.68,69,100,8.05,light snow
304,Conceicao Do Araguaia,BR,-8.2578,-49.2647,83.73,73,97,1.72,overcast clouds
305,Baglung,NP,28.2719,83.5898,49.51,69,68,3.2,broken clouds
306,Peterhead,GB,57.5058,-1.7981,38.71,65,99,30.51,overcast clouds
307,Gizycko,PL,54.0381,21.7644,34.74,99,100,3.24,snow
308,Bom Jesus,BR,-9.0744,-44.3586,90.52,41,99,4.61,overcast clouds
309,Huarmey,PE,-10.0681,-78.1522,75.4,69,100,9.62,overcast clouds
310,Kudahuvadhoo,MV,2.6708,72.8944,81.48,75,45,12.33,scattered clouds
311,Bray,IE,53.2028,-6.0983,40.01,83,5,14.92,clear sky
312,Lubao,PH,14.9167,120.55,79.14,83,49,8.25,scattered clouds
313,Pedernales,DO,18.0384,-71.744,83.19,55,10,3.06,clear sky
314,Te Anau,NZ,-45.4167,167.7167,58.15,91,52,1.1,broken clouds
315,Kenai,US,60.5544,-151.2583,21.29,79,0,16.11,clear sky
316,Sao Filipe,CV,14.8961,-24.4956,78.82,52,100,8.19,overcast clouds
317,Castanos,MX,26.7833,-101.4167,66.34,26,75,0.0,broken clouds
318,Biak,ID,-0.9131,122.8766,76.01,83,68,2.66,broken clouds
319,Am Timan,TD,11.0297,20.2827,82.08,11,2,5.75,clear sky
320,Hofn,IS,64.2539,-15.2082,25.47,61,53,7.81,broken clouds
321,Mustasaari,FI,63.1142,21.6822,31.95,80,0,12.66,clear sky
322,Ajdabiya,LY,30.7554,20.2263,55.72,66,4,7.34,clear sky
323,Mount Isa,AU,-20.7333,139.5,80.37,32,4,8.05,clear sky
324,Rawson,AR,-43.3002,-65.1023,65.23,38,83,20.65,broken clouds
325,Filadelfia,US,39.9523,-75.1638,57.9,38,75,20.71,broken clouds
326,Virden,US,39.5009,-89.7679,37.06,72,4,12.17,clear sky
327,Rantauprapat,ID,2.1,99.8333,71.87,98,100,0.72,light rain
