City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
464,Alta Floresta,BR,82.72,scattered clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
465,Port Hueneme,US,84.45,clear sky,34.1478,-119.1951,Hampton Inn Channel Islands Harbor
468,Port Hedland,AU,82.45,clear sky,-20.3167,118.5667,"The Esplanade Hotel (Accommodation section closed for refurbishment - Bar, Restaurant & Functions remain open)"
469,Puerto Del Rosario,ES,69.55,clear sky,28.5004,-13.8627,Hotel JM Puerto del Rosario
474,Grand Gaube,MU,79.2,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
475,Makakilo City,US,76.28,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
477,Miguel Calmon,BR,87.84,few clouds,-11.4289,-40.595,Pousada Guiomar
478,Bonthe,SL,80.06,clear sky,7.5264,-12.505,Bonthe Holiday Village
484,Tshikapa,CD,70.43,light rain,-6.4167,20.8,Hôtel Tshia-Muntu de Tshikapa
488,Grand-Santi,GF,81.57,overcast clouds,4.25,-54.3833,Hotel La Villa Couacou
491,Chicama,PE,73.94,overcast clouds,-7.8447,-79.1469,Balihai Bungalows
492,Lethem,GY,93.97,overcast clouds,3.3803,-59.7968,Savannah Inn
496,Vila Do Maio,CV,79.59,overcast clouds,15.1333,-23.2167,Hotel Marilu
503,Podor,MR,86.85,broken clouds,16.6527,-14.9587,Auberge Du Tékrour
506,San Cristobal,VE,78.98,broken clouds,7.7669,-72.225,Posada Villaven C.A.
507,Puerto Vallarta,MX,76.91,clear sky,20.6204,-105.2307,Sheraton Buganvilias Resort & Convention Center
508,Rocha,UY,81.43,clear sky,-34.4833,-54.3333,Hotel Arrarte
515,Auki,SB,77.32,moderate rain,-8.7676,160.7034,Auki Motel
516,Torit,SS,91.36,overcast clouds,4.4133,32.5678,Diplomat Guest House
519,Nieuw Amsterdam,SR,86.16,broken clouds,5.8833,-55.0833,Hotel Stardust
521,Mahibadhoo,MV,81.45,scattered clouds,3.7833,72.9667,Omadhoo Inn
523,Nanakuli,US,77.7,clear sky,21.3906,-158.1547,Camp Pālehua
525,Le Port,RE,77.0,scattered clouds,-20.9373,55.2919,KORBEY D'OR OUEST
529,Santa Vitoria Do Palmar,BR,78.24,clear sky,-33.5189,-53.3681,Hostel Comodoro
530,Freetown,SL,78.87,clear sky,8.484,-13.2299,The Country Lodge Hotel
532,Vila Velha,BR,78.75,broken clouds,-20.3297,-40.2925,Quality Suites Vila Velha
533,Nabire,ID,75.76,overcast clouds,-3.3667,135.4833,Hotel Nusantara Nabire
534,Gizo,SB,80.33,moderate rain,-8.103,156.8419,Imagination Island
537,Nueva Loja,EC,87.82,scattered clouds,0.0847,-76.8828,Limoncocha Great Hotel
538,Vao,NC,81.12,moderate rain,-22.6667,167.4833,Hotel Kou-Bugny
539,Cairns,AU,74.07,clear sky,-16.9167,145.7667,Mantra Trilogy Cairns
540,Banda Aceh,ID,78.15,overcast clouds,5.5577,95.3222,Sulthan Hotel International
544,Humaita,BR,85.39,broken clouds,-7.5061,-63.0208,Corrêa Hotel
546,Jawhar,SO,74.84,broken clouds,2.7809,45.5005,hantiwadaag village part one
547,Mahajanga,MG,78.35,light rain,-15.7167,46.3167,Restaurant Greedy Coco Lodge Majunga
548,Laguna,US,71.42,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
550,Bandarbeyla,SO,74.05,clear sky,9.4942,50.8122,JABIR HOTEL
556,Butte,US,81.95,clear sky,39.6499,-121.5677,Meadowbrook Oaks Mobile Home Park
560,Alugan,PH,78.35,overcast clouds,12.2188,125.4808,JM Lodge
561,Boa Esperanca,BR,73.38,overcast clouds,-21.09,-45.5658,Hotel do Lago
564,Mareeba,AU,69.44,scattered clouds,-17.0,145.4333,Trinity Plains Tourist Park
565,Ngaoundere,CM,68.95,clear sky,7.3167,13.5833,Hotel Mentong Palace
567,San Jose,US,76.68,few clouds,37.3394,-121.895,The Westin San Jose
569,Pamanukan,ID,76.44,overcast clouds,-6.2842,107.8106,Paris Day Hotel Pamanukan
571,Puerto Colombia,CO,89.69,few clouds,10.9878,-74.9547,Hotel El Emigrante
572,Nueva Imperial,CL,72.25,clear sky,-38.7333,-72.95,Hotel Ruta Costera
575,Souillac,MU,79.18,broken clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
578,Vanimo,PG,78.01,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
582,Mossendjo,CG,71.78,overcast clouds,-2.9506,12.7261,HOTEL D'ASSISE
584,Salalah,OM,75.29,few clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
588,Tocopilla,CL,70.65,few clouds,-22.092,-70.1979,Hotel Galvarino
591,Spanish Town,JM,80.67,broken clouds,17.9911,-76.9574,Shan's Cloud
593,Maumere,ID,78.1,moderate rain,-8.6199,122.2111,Sylvia Hotel
597,Atar,MR,77.7,clear sky,20.5169,-13.0499,Oumou Elghoura
599,Viedma,AR,69.03,overcast clouds,-40.8135,-62.9967,Hotel Cristal
602,Male,MV,81.57,broken clouds,4.1748,73.5089,Hotel Octave Maldives
603,Tefe,BR,93.31,scattered clouds,-3.3542,-64.7114,Aracati Hotel
607,Nhulunbuy,AU,79.41,overcast clouds,-12.2333,136.7667,East Arnhem Real Estate
608,Dzilam Gonzalez,MX,77.13,broken clouds,21.2833,-88.9333,posadas
610,Sambava,MG,76.73,light rain,-14.2667,50.1667,Melrose
616,Necochea,AR,85.03,clear sky,-38.5473,-58.7368,dyd -mar Hotel
617,Makaha,US,77.65,clear sky,21.4694,-158.2175,Hawaiian Princess Resort
620,Farafangana,MG,77.11,few clouds,-22.8167,47.8333,Miarina
623,Richards Bay,ZA,73.63,clear sky,-28.783,32.0377,BON Hotel Waterfront Richards Bay
624,Waingapu,ID,76.6,light rain,-9.6567,120.2641,Pondok Wisata Elim
629,Mabaruma,GY,80.83,overcast clouds,8.2,-59.7833,Monty Brooms Guest House
630,Yokadouma,CM,76.08,scattered clouds,3.5167,15.05,Hôtel De Ville De Yokadouma
631,Sabang,ID,81.68,overcast clouds,5.8933,95.3214,Hotel Citra
633,Ambilobe,MG,74.39,moderate rain,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
635,Praya,CV,79.34,overcast clouds,14.9215,-23.5087,LT Aparthotel
637,Paragominas,BR,78.37,overcast clouds,-2.9667,-47.4833,INOVA
638,Tecoanapa,MX,81.86,overcast clouds,16.5167,-98.75,Hotel Manglares
641,Ribas Do Rio Pardo,BR,87.08,overcast clouds,-20.4431,-53.7592,Pousada Avenida
648,Gashua,NG,71.29,scattered clouds,12.871,11.0482,Forte Oil - Old Lorry Park
651,Guaruja,BR,84.16,scattered clouds,-23.9931,-46.2564,Charme Hotel Guarujá
655,Honiara,SB,77.32,light rain,-9.4333,159.95,Heritage Park Hotel
656,Benguela,AO,76.84,overcast clouds,-12.5763,13.4055,Hotel Praia Morena
657,Neiafu,TO,81.73,overcast clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
659,Mattru,SL,83.08,clear sky,7.6244,-11.8332,"Mondkor Town, Bagbo Chiefdom, Bo District"
660,Wau,SS,83.82,scattered clouds,7.7029,27.9953,Universal Gab Hotel
664,Trinidad,BO,93.18,scattered clouds,-14.8333,-64.9,Hotel Piesta
666,Bairiki,KI,82.4,few clouds,1.3292,172.9752,Tarawa Boutique Hotel
670,Buala,SB,78.39,light rain,-8.145,159.5921,Maringe Lagoon Lodge
671,Foumban,CM,73.45,clear sky,5.7291,10.9001,Hotel Pekassa De Karche
674,Yulara,AU,71.44,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
675,Matara,LK,75.22,clear sky,5.9485,80.5353,Amaloh Boutique Resort
